x,fit,Maximizacion,Minimizacion,Factibilidad,a1,a2,epsilonConstraint
"[1, 0, 25, 4, 30]",2194,2194,2404,True,2,1,3000
"[2, 0, 25, 4, 30]",2264,2264,2574,True,2,1,3000
"[4, 0, 25, 0, 30]",2160,2160,2510,True,2,1,3000
"[1, 0, 25, 4, 30]",2194,2194,2404,True,2,1,3000
"[4, 0, 25, 0, 30]",2160,2160,2510,True,2,1,3000
"[4, 0, 25, 0, 30]",2160,2160,2510,True,2,1,3000
"[1, 0, 25, 4, 30]",2194,2194,2404,True,2,1,3000
"[4, 0, 25, 0, 30]",2160,2160,2510,True,2,1,3000
"[1, 0, 25, 0, 30]",1950,1950,2000,True,2,1,3000
"[1, 0, 25, 4, 30]",2194,2194,2404,True,2,1,3000
"[1, 0, 25, 0, 30]",1950,1950,2000,True,2,1,3000
"[1, 0, 25, 0, 30]",1950,1950,2000,True,2,1,3000
"[2, 0, 25, 4, 30]",2264,2264,2574,True,2,1,3000
"[2, 0, 25, 4, 30]",2264,2264,2574,True,2,1,3000
"[1, 0, 25, 0, 30]",1950,1950,2000,True,2,1,3000
"[4, 0, 25, 0, 30]",2160,2160,2510,True,2,1,3000
"[2, 0, 25, 4, 30]",2264,2264,2574,True,2,1,3000
"[1, 0, 25, 4, 30]",2194,2194,2404,True,2,1,3000
"[4, 0, 25, 0, 30]",2160,2160,2510,True,2,1,3000
"[1, 0, 25, 4, 30]",2194,2194,2404,True,2,1,3000
"[2, 0, 25, 4, 30]",2264,2264,2574,True,2,1,3000
"[1, 0, 25, 4, 30]",2194,2194,2404,True,2,1,3000
"[4, 0, 25, 0, 30]",2160,2160,2510,True,2,1,3000
"[1, 0, 25, 0, 30]",1950,1950,2000,True,2,1,3000
"[1, 0, 25, 4, 30]",2194,2194,2404,True,2,1,3000
"[4, 0, 25, 0, 30]",2160,2160,2510,True,2,1,3000
"[2, 0, 25, 4, 30]",2264,2264,2574,True,2,1,3000
"[4, 0, 25, 0, 30]",2160,2160,2510,True,2,1,3000
"[2, 0, 25, 4, 30]",2264,2264,2574,True,2,1,3000
"[1, 0, 25, 4, 30]",2194,2194,2404,True,2,1,3000
"[1, 0, 25, 4, 30]",2194,2194,2404,True,2,1,3000
"[1, 0, 25, 0, 30]",1950,1950,2000,True,2,1,3000
"[2, 0, 25, 4, 30]",2264,2264,2574,True,2,1,3000
"[1, 0, 25, 4, 30]",2194,2194,2404,True,2,1,3000
"[1, 0, 25, 4, 30]",2194,2194,2404,True,2,1,3000
"[2, 0, 25, 4, 30]",2264,2264,2574,True,2,1,3000
"[2, 0, 25, 4, 30]",2264,2264,2574,True,2,1,3000
"[1, 0, 25, 0, 30]",1950,1950,2000,True,2,1,3000
"[4, 0, 25, 0, 30]",2160,2160,2510,True,2,1,3000
"[1, 0, 25, 0, 30]",1950,1950,2000,True,2,1,3000
"[1, 0, 25, 0, 30]",1950,1950,2000,True,2,1,3000
"[4, 0, 25, 0, 30]",2160,2160,2510,True,2,1,3000
"[1, 0, 25, 0, 30]",1950,1950,2000,True,2,1,3000
"[2, 0, 25, 4, 30]",2264,2264,2574,True,2,1,3000
"[1, 0, 25, 0, 30]",1950,1950,2000,True,2,1,3000
"[4, 0, 25, 0, 30]",2160,2160,2510,True,2,1,3000
"[2, 0, 25, 4, 30]",2264,2264,2574,True,2,1,3000
"[1, 0, 25, 0, 30]",1950,1950,2000,True,2,1,3000
"[2, 0, 25, 4, 30]",2264,2264,2574,True,2,1,3000
"[2, 0, 25, 4, 30]",2264,2264,2574,True,2,1,3000
"[1, 0, 25, 0, 30]",1950,1950,2000,True,2,1,3000
"[4, 0, 25, 0, 30]",2160,2160,2510,True,2,1,3000
"[4, 0, 25, 0, 30]",2160,2160,2510,True,2,1,3000
"[1, 0, 25, 0, 30]",1950,1950,2000,True,2,1,3000
"[1, 0, 25, 4, 30]",2194,2194,2404,True,2,1,3000
"[2, 0, 25, 4, 30]",2264,2264,2574,True,2,1,3000
"[1, 0, 25, 4, 30]",2194,2194,2404,True,2,1,3000
"[1, 0, 25, 0, 30]",1950,1950,2000,True,2,1,3000
"[1, 0, 25, 4, 30]",2194,2194,2404,True,2,1,3000
"[2, 0, 25, 4, 30]",2264,2264,2574,True,2,1,3000
"[4, 0, 25, 0, 30]",2160,2160,2510,True,2,1,3000
"[1, 0, 25, 4, 30]",2194,2194,2404,True,2,1,3000
"[1, 0, 25, 4, 30]",2194,2194,2404,True,2,1,3000
"[1, 0, 25, 0, 30]",1950,1950,2000,True,2,1,3000
"[1, 0, 25, 4, 30]",2194,2194,2404,True,2,1,3000
"[1, 0, 25, 4, 30]",2194,2194,2404,True,2,1,3000
"[1, 0, 25, 0, 30]",1950,1950,2000,True,2,1,3000
"[2, 0, 25, 4, 30]",2264,2264,2574,True,2,1,3000
"[2, 0, 25, 4, 30]",2264,2264,2574,True,2,1,3000
"[1, 0, 25, 4, 30]",2194,2194,2404,True,2,1,3000
"[1, 0, 25, 0, 30]",1950,1950,2000,True,2,1,3000
"[1, 0, 25, 4, 30]",2194,2194,2404,True,2,1,3000
"[2, 0, 25, 4, 30]",2264,2264,2574,True,2,1,3000
"[1, 0, 25, 0, 30]",1950,1950,2000,True,2,1,3000
"[1, 0, 25, 4, 30]",2194,2194,2404,True,2,1,3000
"[1, 0, 25, 0, 30]",1950,1950,2000,True,2,1,3000
"[1, 0, 25, 0, 30]",1950,1950,2000,True,2,1,3000
"[1, 0, 25, 4, 30]",2194,2194,2404,True,2,1,3000
"[1, 0, 25, 0, 30]",1950,1950,2000,True,2,1,3000
"[1, 0, 25, 0, 30]",1950,1950,2000,True,2,1,3000
"[2, 0, 25, 4, 30]",2264,2264,2574,True,2,1,3000
"[1, 0, 25, 0, 30]",1950,1950,2000,True,2,1,3000
"[1, 0, 25, 0, 30]",1950,1950,2000,True,2,1,3000
"[1, 0, 25, 0, 30]",1950,1950,2000,True,2,1,3000
"[0, 0, 25, 4, 30]",2124,2124,2234,True,2,1,3000
"[2, 0, 25, 4, 30]",2264,2264,2574,True,2,1,3000
"[0, 0, 25, 4, 30]",2124,2124,2234,True,2,1,3000
"[2, 0, 25, 4, 30]",2264,2264,2574,True,2,1,3000
"[0, 0, 25, 4, 30]",2124,2124,2234,True,2,1,3000
"[2, 0, 25, 4, 30]",2264,2264,2574,True,2,1,3000
"[1, 0, 25, 0, 30]",1950,1950,2000,True,2,1,3000
"[0, 0, 25, 4, 30]",2124,2124,2234,True,2,1,3000
"[0, 0, 25, 4, 30]",2124,2124,2234,True,2,1,3000
"[0, 0, 25, 4, 30]",2124,2124,2234,True,2,1,3000
"[0, 0, 25, 4, 30]",2124,2124,2234,True,2,1,3000
"[1, 0, 25, 0, 30]",1950,1950,2000,True,2,1,3000
"[1, 0, 25, 0, 30]",1950,1950,2000,True,2,1,3000
"[0, 0, 25, 4, 30]",2124,2124,2234,True,2,1,3000
"[1, 0, 25, 0, 30]",1950,1950,2000,True,2,1,3000
"[2, 0, 25, 4, 30]",2264,2264,2574,True,2,1,3000
