x,fit,Maximizacion,Minimizacion,Factibilidad,a1,a2,epsilonConstraint,iteracion
"[15, 0, 25, 4, 30]",3174,3174,4784,True,1,1,5000,0
"[15, 0, 25, 4, 30]",3174,3174,4784,True,1,1,5000,0
"[15, 0, 25, 4, 30]",3174,3174,4784,True,1,1,5000,0
"[15, 0, 25, 4, 30]",3174,3174,4784,True,1,1,5000,0
"[15, 0, 25, 4, 30]",3174,3174,4784,True,1,1,5000,0
"[15, 0, 25, 4, 30]",3174,3174,4784,True,1,1,5000,0
"[15, 0, 25, 4, 30]",3174,3174,4784,True,1,1,5000,0
"[15, 0, 25, 4, 30]",3174,3174,4784,True,1,1,5000,0
"[15, 0, 25, 4, 30]",3174,3174,4784,True,1,1,5000,0
"[15, 0, 25, 4, 30]",3174,3174,4784,True,1,1,5000,0
"[15, 0, 25, 4, 30]",3174,3174,4784,True,1,1,5000,0
"[15, 0, 25, 4, 30]",3174,3174,4784,True,1,1,5000,0
"[15, 0, 25, 4, 30]",3174,3174,4784,True,1,1,5000,0
"[15, 0, 25, 4, 30]",3174,3174,4784,True,1,1,5000,0
"[15, 0, 25, 4, 30]",3174,3174,4784,True,1,1,5000,0
"[15, 0, 25, 4, 30]",3174,3174,4784,True,1,1,5000,0
"[15, 0, 25, 4, 30]",3174,3174,4784,True,1,1,5000,0
"[15, 0, 25, 4, 30]",3174,3174,4784,True,1,1,5000,0
"[15, 0, 25, 4, 30]",3174,3174,4784,True,1,1,5000,0
"[15, 0, 25, 4, 30]",3174,3174,4784,True,1,1,5000,0
"[15, 0, 25, 4, 30]",3174,3174,4784,True,1,1,5000,0
"[15, 0, 25, 4, 30]",3174,3174,4784,True,1,1,5000,0
"[15, 0, 25, 4, 30]",3174,3174,4784,True,1,1,5000,0
"[15, 0, 25, 4, 30]",3174,3174,4784,True,1,1,5000,0
"[15, 0, 25, 4, 30]",3174,3174,4784,True,1,1,5000,0
"[15, 0, 25, 4, 30]",3174,3174,4784,True,1,1,5000,0
"[15, 0, 25, 4, 30]",3174,3174,4784,True,1,1,5000,0
"[15, 0, 25, 4, 30]",3174,3174,4784,True,1,1,5000,0
"[15, 0, 25, 4, 30]",3174,3174,4784,True,1,1,5000,0
"[15, 0, 25, 4, 30]",3174,3174,4784,True,1,1,5000,0
"[15, 0, 25, 4, 30]",3174,3174,4784,True,1,1,5000,0
"[15, 0, 25, 4, 30]",3174,3174,4784,True,1,1,5000,0
"[15, 0, 25, 4, 30]",3174,3174,4784,True,1,1,5000,0
"[15, 0, 25, 4, 30]",3174,3174,4784,True,1,1,5000,0
"[15, 0, 25, 4, 30]",3174,3174,4784,True,1,1,5000,0
"[15, 0, 25, 4, 30]",3174,3174,4784,True,1,1,5000,0
"[15, 0, 25, 4, 30]",3174,3174,4784,True,1,1,5000,0
"[15, 0, 25, 4, 30]",3174,3174,4784,True,1,1,5000,0
"[15, 0, 25, 4, 30]",3174,3174,4784,True,1,1,5000,0
"[15, 0, 25, 4, 30]",3174,3174,4784,True,1,1,5000,0
"[15, 0, 25, 4, 30]",3174,3174,4784,True,1,1,5000,0
"[15, 0, 25, 4, 30]",3174,3174,4784,True,1,1,5000,0
"[15, 0, 25, 4, 30]",3174,3174,4784,True,1,1,5000,0
"[15, 0, 25, 4, 30]",3174,3174,4784,True,1,1,5000,0
"[15, 0, 25, 4, 30]",3174,3174,4784,True,1,1,5000,0
"[15, 0, 25, 4, 30]",3174,3174,4784,True,1,1,5000,0
"[15, 0, 25, 4, 30]",3174,3174,4784,True,1,1,5000,0
"[15, 0, 25, 4, 30]",3174,3174,4784,True,1,1,5000,0
"[15, 0, 25, 4, 30]",3174,3174,4784,True,1,1,5000,0
"[15, 0, 25, 4, 30]",3174,3174,4784,True,1,1,5000,0
"[15, 0, 25, 4, 30]",3174,3174,4784,True,1,1,5000,0
"[15, 0, 25, 4, 30]",3174,3174,4784,True,1,1,5000,0
"[15, 0, 25, 4, 30]",3174,3174,4784,True,1,1,5000,0
"[15, 0, 25, 4, 30]",3174,3174,4784,True,1,1,5000,0
"[15, 0, 25, 4, 30]",3174,3174,4784,True,1,1,5000,0
"[15, 0, 25, 4, 30]",3174,3174,4784,True,1,1,5000,0
"[15, 0, 25, 4, 30]",3174,3174,4784,True,1,1,5000,0
"[15, 0, 25, 4, 30]",3174,3174,4784,True,1,1,5000,0
"[15, 0, 25, 4, 30]",3174,3174,4784,True,1,1,5000,0
"[15, 0, 25, 4, 30]",3174,3174,4784,True,1,1,5000,0
"[15, 0, 25, 4, 30]",3174,3174,4784,True,1,1,5000,0
"[15, 0, 25, 4, 30]",3174,3174,4784,True,1,1,5000,0
"[15, 0, 25, 4, 30]",3174,3174,4784,True,1,1,5000,0
"[15, 0, 25, 4, 30]",3174,3174,4784,True,1,1,5000,0
"[15, 0, 25, 4, 30]",3174,3174,4784,True,1,1,5000,0
"[15, 0, 25, 4, 30]",3174,3174,4784,True,1,1,5000,0
"[15, 0, 25, 4, 30]",3174,3174,4784,True,1,1,5000,0
"[15, 0, 25, 4, 30]",3174,3174,4784,True,1,1,5000,0
"[15, 0, 25, 4, 30]",3174,3174,4784,True,1,1,5000,0
"[15, 0, 25, 4, 30]",3174,3174,4784,True,1,1,5000,0
"[15, 0, 25, 4, 30]",3174,3174,4784,True,1,1,5000,0
"[15, 0, 25, 4, 30]",3174,3174,4784,True,1,1,5000,0
"[15, 0, 25, 4, 30]",3174,3174,4784,True,1,1,5000,0
"[15, 0, 25, 4, 30]",3174,3174,4784,True,1,1,5000,0
"[15, 0, 25, 4, 30]",3174,3174,4784,True,1,1,5000,0
"[15, 0, 25, 4, 30]",3174,3174,4784,True,1,1,5000,0
"[15, 0, 25, 4, 30]",3174,3174,4784,True,1,1,5000,0
"[15, 0, 25, 4, 30]",3174,3174,4784,True,1,1,5000,0
"[15, 0, 25, 4, 30]",3174,3174,4784,True,1,1,5000,0
"[15, 0, 25, 4, 30]",3174,3174,4784,True,1,1,5000,0
"[15, 0, 25, 4, 30]",3174,3174,4784,True,1,1,5000,0
"[15, 0, 25, 4, 30]",3174,3174,4784,True,1,1,5000,0
"[15, 0, 25, 4, 30]",3174,3174,4784,True,1,1,5000,0
"[15, 0, 25, 4, 30]",3174,3174,4784,True,1,1,5000,0
"[15, 0, 25, 4, 30]",3174,3174,4784,True,1,1,5000,0
"[15, 0, 25, 4, 30]",3174,3174,4784,True,1,1,5000,0
"[15, 0, 25, 4, 30]",3174,3174,4784,True,1,1,5000,0
"[15, 0, 25, 4, 30]",3174,3174,4784,True,1,1,5000,0
"[15, 0, 25, 4, 30]",3174,3174,4784,True,1,1,5000,0
"[15, 0, 25, 4, 30]",3174,3174,4784,True,1,1,5000,0
"[15, 0, 25, 4, 30]",3174,3174,4784,True,1,1,5000,0
"[15, 0, 25, 4, 30]",3174,3174,4784,True,1,1,5000,0
"[15, 0, 25, 4, 30]",3174,3174,4784,True,1,1,5000,0
"[15, 0, 25, 4, 30]",3174,3174,4784,True,1,1,5000,0
"[15, 0, 25, 4, 30]",3174,3174,4784,True,1,1,5000,0
"[15, 0, 25, 4, 30]",3174,3174,4784,True,1,1,5000,0
"[15, 0, 25, 4, 30]",3174,3174,4784,True,1,1,5000,0
"[15, 0, 25, 4, 30]",3174,3174,4784,True,1,1,5000,0
"[15, 0, 25, 4, 30]",3174,3174,4784,True,1,1,5000,0
"[15, 0, 25, 4, 30]",3174,3174,4784,True,1,1,5000,0
