x,fit,Maximizacion,Minimizacion,Factibilidad,a1,a2,epsilonConstraint,iteracion
"[6, 0, 25, 4, 30]",2544,2544,3254,True,1,1,3500,0
"[4, 0, 25, 4, 30]",2404,2404,2914,True,1,1,3500,0
"[1, 0, 25, 4, 30]",2194,2194,2404,True,1,1,3500,0
"[1, 0, 25, 4, 30]",2194,2194,2404,True,1,1,3500,0
"[6, 0, 25, 4, 30]",2544,2544,3254,True,1,1,3500,0
"[6, 0, 25, 4, 30]",2544,2544,3254,True,1,1,3500,0
"[6, 0, 25, 4, 30]",2544,2544,3254,True,1,1,3500,0
"[6, 0, 25, 4, 30]",2544,2544,3254,True,1,1,3500,0
"[1, 0, 25, 4, 30]",2194,2194,2404,True,1,1,3500,0
"[0, 0, 25, 4, 30]",2124,2124,2234,True,1,1,3500,0
"[4, 0, 25, 4, 30]",2404,2404,2914,True,1,1,3500,0
"[4, 0, 25, 4, 30]",2404,2404,2914,True,1,1,3500,0
"[0, 0, 25, 4, 30]",2124,2124,2234,True,1,1,3500,0
"[4, 0, 25, 4, 30]",2404,2404,2914,True,1,1,3500,0
"[4, 0, 25, 4, 30]",2404,2404,2914,True,1,1,3500,0
"[1, 0, 25, 4, 30]",2194,2194,2404,True,1,1,3500,0
"[1, 0, 25, 4, 30]",2194,2194,2404,True,1,1,3500,0
"[4, 0, 25, 4, 30]",2404,2404,2914,True,1,1,3500,0
"[1, 0, 25, 4, 30]",2194,2194,2404,True,1,1,3500,0
"[4, 0, 25, 4, 30]",2404,2404,2914,True,1,1,3500,0
"[1, 0, 25, 4, 30]",2194,2194,2404,True,1,1,3500,0
"[0, 0, 25, 4, 30]",2124,2124,2234,True,1,1,3500,0
"[0, 0, 25, 4, 30]",2124,2124,2234,True,1,1,3500,0
"[1, 0, 25, 4, 30]",2194,2194,2404,True,1,1,3500,0
"[0, 0, 25, 4, 30]",2124,2124,2234,True,1,1,3500,0
"[4, 0, 25, 4, 30]",2404,2404,2914,True,1,1,3500,0
"[4, 0, 25, 4, 30]",2404,2404,2914,True,1,1,3500,0
"[0, 0, 25, 4, 30]",2124,2124,2234,True,1,1,3500,0
"[0, 0, 25, 4, 30]",2124,2124,2234,True,1,1,3500,0
"[1, 0, 25, 4, 30]",2194,2194,2404,True,1,1,3500,0
"[4, 0, 25, 4, 30]",2404,2404,2914,True,1,1,3500,0
"[0, 0, 25, 4, 30]",2124,2124,2234,True,1,1,3500,0
